trade_type,acct_num,sec_symbol,trade_date,trade_lot,transaction_id
BUY,CO-83096,AMD,2016-08-03,70000,04637123
SELL,CO-83096,AMD,2017-01-20,70000,04637123
BUY,CO-83096,MSFT,2016-07-22,10000,01815701
SELL,CO-83096,MSFT,2016-12-08,10000,01815701
BUY,CO-83096,DIS,2016-07-25,50000,02508282
SELL,CO-83096,DIS,2017-09-08,50000,02508282
BUY,CO-83096,INTC,2016-06-15,10000,05489283
SELL,CO-83096,INTC,2017-03-21,10000,05489283
BUY,CO-83096,INTC,2016-05-13,90000,01604361
SELL,CO-83096,INTC,2016-09-02,90000,01604361
BUY,CO-83096,SQ,2016-06-17,30000,06489679
SELL,CO-83096,SQ,2017-05-05,30000,06489679
BUY,CO-83096,COF,2016-07-07,10000,05814270
SELL,CO-83096,COF,2016-12-13,10000,05814270
BUY,CO-83096,AMD,2016-07-26,10000,05023408
SELL,CO-83096,AMD,2017-02-16,10000,05023408
BUY,CO-83096,CRM,2016-06-08,70000,03633373
SELL,CO-83096,CRM,2017-08-15,70000,03633373
BUY,CO-83096,AMD,2016-06-07,20000,03961346
SELL,CO-83096,AMD,2017-04-11,20000,03961346
BUY,CO-83096,UA,2016-06-21,60000,03274310
SELL,CO-83096,UA,2016-10-17,60000,03274310
BUY,CO-83096,AMD,2016-06-23,30000,02605121
SELL,CO-83096,AMD,2017-10-06,30000,02605121
BUY,CO-83096,NKE,2016-07-06,10000,01201384
SELL,CO-83096,NKE,2017-06-15,10000,01201384
BUY,CO-83096,AMD,2016-04-27,20000,02581613
SELL,CO-83096,AMD,2017-08-21,20000,02581613
BUY,CO-83096,AMD,2016-08-04,40000,04655060
SELL,CO-83096,AMD,2017-08-09,40000,04655060
BUY,CO-83096,CMG,2016-06-24,90000,05411202
SELL,CO-83096,CMG,2018-01-19,90000,05411202
BUY,CO-83096,MSFT,2016-08-05,30000,02952549
SELL,CO-83096,MSFT,2017-10-26,30000,02952549
BUY,CO-83096,MSFT,2016-05-06,20000,02253704
SELL,CO-83096,MSFT,2016-12-16,20000,02253704
BUY,CO-83096,MSFT,2016-05-12,90000,05198285
SELL,CO-83096,MSFT,2017-11-22,90000,05198285
BUY,CO-83096,UA,2016-04-06,30000,06461249
SELL,CO-83096,UA,2017-02-08,30000,06461249
BUY,CO-83096,SQ,2016-08-02,20000,09843354
SELL,CO-83096,SQ,2017-10-24,20000,09843354
BUY,CO-83096,DIS,2016-05-27,70000,01753903
SELL,CO-83096,DIS,2017-11-28,70000,01753903
BUY,CO-83096,CRM,2016-06-06,10000,08386128
SELL,CO-83096,CRM,2017-02-14,10000,08386128
BUY,CO-83096,INTC,2016-04-04,70000,04315504
SELL,CO-83096,INTC,2016-09-26,70000,04315504
BUY,CO-83096,CRM,2016-06-01,30000,04623557
SELL,CO-83096,CRM,2017-04-24,30000,04623557
BUY,CO-83096,NKE,2016-06-02,40000,02932285
SELL,CO-83096,NKE,2017-01-11,40000,02932285
BUY,CO-83096,CRM,2016-06-30,30000,07398296
SELL,CO-83096,CRM,2017-09-19,30000,07398296
BUY,CO-83096,INTC,2016-04-11,70000,02836915
SELL,CO-83096,INTC,2017-02-03,70000,02836915
BUY,CO-83096,DIS,2016-07-26,20000,08494010
SELL,CO-83096,DIS,2017-06-20,20000,08494010
BUY,CO-83096,UA,2016-06-09,60000,02510248
SELL,CO-83096,UA,2017-03-16,60000,02510248
BUY,CO-83096,CMG,2016-07-28,10000,09961679
SELL,CO-83096,CMG,2017-08-01,10000,09961679
BUY,CO-83096,MSFT,2016-06-01,10000,05559308
SELL,CO-83096,MSFT,2016-12-28,10000,05559308
BUY,CO-83096,AMD,2016-04-19,50000,04231140
SELL,CO-83096,AMD,2016-08-16,50000,04231140
BUY,CO-83096,NKE,2016-04-14,10000,06122298
SELL,CO-83096,NKE,2017-06-14,10000,06122298
BUY,CO-83096,DIS,2016-04-20,40000,05294933
SELL,CO-83096,DIS,2017-01-05,40000,05294933
BUY,CO-83096,DIS,2016-05-19,40000,07103737
SELL,CO-83096,DIS,2016-12-13,40000,07103737
BUY,CO-83096,AMD,2016-07-06,90000,07136515
SELL,CO-83096,AMD,2017-06-28,90000,07136515
BUY,CO-83096,INTC,2016-04-21,50000,08694713
SELL,CO-83096,INTC,2017-10-25,50000,08694713
BUY,CO-83096,SQ,2016-04-13,40000,03738306
SELL,CO-83096,SQ,2017-06-07,40000,03738306
BUY,CO-83096,CMG,2016-05-26,60000,05381976
SELL,CO-83096,CMG,2016-11-09,60000,05381976
BUY,CO-83096,INTC,2016-04-11,20000,09491357
SELL,CO-83096,INTC,2016-11-28,20000,09491357
BUY,CO-83096,CRM,2016-07-12,80000,01495614
SELL,CO-83096,CRM,2016-09-30,80000,01495614
BUY,CO-83096,MSFT,2016-04-14,10000,06936271
SELL,CO-83096,MSFT,2016-09-07,10000,06936271
BUY,CO-83096,NKE,2016-06-17,10000,05886432
SELL,CO-83096,NKE,2016-08-29,10000,05886432
BUY,CO-83096,INTC,2016-05-16,30000,06958271
SELL,CO-83096,INTC,2017-04-04,30000,06958271
BUY,CO-83096,CRM,2016-05-12,20000,09075462
SELL,CO-83096,CRM,2017-10-09,20000,09075462
BUY,CO-83096,DIS,2016-04-12,30000,09695602
SELL,CO-83096,DIS,2017-01-13,30000,09695602
BUY,CO-83096,NKE,2016-06-02,30000,08733778
SELL,CO-83096,NKE,2017-09-22,30000,08733778
BUY,CO-83096,UA,2016-06-16,40000,07778058
SELL,CO-83096,UA,2017-02-13,40000,07778058
BUY,CO-83096,MSFT,2016-08-04,50000,04633509
SELL,CO-83096,MSFT,2017-08-07,50000,04633509
BUY,CO-83096,DIS,2016-06-24,40000,03868092
SELL,CO-83096,DIS,2017-10-18,40000,03868092
BUY,CO-83096,INTC,2016-05-12,20000,06530633
SELL,CO-83096,INTC,2017-11-01,20000,06530633
BUY,CO-83096,COF,2016-07-01,30000,09713917
SELL,CO-83096,COF,2017-12-15,30000,09713917
BUY,CO-83096,UA,2016-04-18,60000,05532385
SELL,CO-83096,UA,2016-07-27,60000,05532385
BUY,CO-83096,INTC,2016-06-28,70000,03254309
SELL,CO-83096,INTC,2017-01-25,70000,03254309
BUY,CO-83096,INTC,2016-04-28,90000,07099852
SELL,CO-83096,INTC,2016-08-25,90000,07099852
BUY,CO-83096,CRM,2016-05-27,20000,06397392
SELL,CO-83096,CRM,2016-11-23,20000,06397392
BUY,CO-83096,INTC,2016-06-22,30000,05688168
SELL,CO-83096,INTC,2017-06-19,30000,05688168
BUY,CO-83096,INTC,2016-04-08,50000,03288049
SELL,CO-83096,INTC,2017-05-09,50000,03288049
BUY,CO-83096,CMG,2016-05-12,60000,09415336
SELL,CO-83096,CMG,2017-03-03,60000,09415336
BUY,CO-83096,MSFT,2016-04-21,70000,02867991
SELL,CO-83096,MSFT,2016-08-22,70000,02867991
BUY,CO-83096,INTC,2016-06-27,20000,05270571
SELL,CO-83096,INTC,2018-01-29,20000,05270571
BUY,CO-83096,SQ,2016-07-28,70000,05637925
SELL,CO-83096,SQ,2017-09-29,70000,05637925
BUY,CO-83096,CRM,2016-07-28,90000,02768989
SELL,CO-83096,CRM,2017-11-17,90000,02768989
BUY,CO-83096,MSFT,2016-07-08,70000,03111078
SELL,CO-83096,MSFT,2016-12-09,70000,03111078
BUY,CO-83096,NKE,2016-05-31,70000,05237945
SELL,CO-83096,NKE,2016-11-21,70000,05237945
BUY,CO-83096,AMD,2016-06-20,10000,01399939
SELL,CO-83096,AMD,2017-10-17,10000,01399939
BUY,CO-83096,SQ,2016-06-02,20000,08307145
SELL,CO-83096,SQ,2016-10-10,20000,08307145
BUY,CO-83096,DIS,2016-06-02,70000,06193745
SELL,CO-83096,DIS,2016-11-04,70000,06193745
BUY,CO-83096,COF,2016-06-06,70000,01481999
SELL,CO-83096,COF,2017-11-29,70000,01481999
BUY,CO-83096,MSFT,2016-04-04,60000,06278900
SELL,CO-83096,MSFT,2016-07-26,60000,06278900
BUY,CO-83096,CRM,2016-08-05,40000,08111175
SELL,CO-83096,CRM,2018-02-22,40000,08111175
BUY,CO-83096,DIS,2016-05-11,90000,02582603
SELL,CO-83096,DIS,2016-07-27,90000,02582603
BUY,CO-83096,CMG,2016-08-10,30000,09962078
SELL,CO-83096,CMG,2017-05-16,30000,09962078
BUY,CO-83096,CRM,2016-08-09,70000,07102577
SELL,CO-83096,CRM,2017-09-01,70000,07102577
BUY,CO-83096,CMG,2016-08-10,20000,03410169
SELL,CO-83096,CMG,2016-11-03,20000,03410169
BUY,CO-83096,CRM,2016-04-06,80000,03174023
SELL,CO-83096,CRM,2016-07-21,80000,03174023
BUY,CO-83096,SQ,2016-04-05,30000,03403086
SELL,CO-83096,SQ,2016-08-02,30000,03403086
BUY,CO-83096,AMD,2016-06-10,40000,02745139
SELL,CO-83096,AMD,2017-08-03,40000,02745139
BUY,CO-83096,CMG,2016-04-13,40000,05122995
SELL,CO-83096,CMG,2016-07-06,40000,05122995
BUY,CO-83096,INTC,2016-08-08,80000,05306068
SELL,CO-83096,INTC,2016-12-08,80000,05306068
BUY,CO-83096,UA,2016-07-21,70000,04887615
SELL,CO-83096,UA,2017-04-27,70000,04887615
BUY,CO-83096,DIS,2016-05-10,70000,07045090
SELL,CO-83096,DIS,2017-03-16,70000,07045090
BUY,CO-83096,UA,2016-04-11,60000,02051336
SELL,CO-83096,UA,2017-01-17,60000,02051336
BUY,CO-83096,COF,2016-05-27,10000,08579960
SELL,CO-83096,COF,2017-03-01,10000,08579960
BUY,CO-83096,CRM,2016-07-15,90000,02109932
SELL,CO-83096,CRM,2017-07-20,90000,02109932
BUY,CO-83096,UA,2016-06-03,70000,04129124
SELL,CO-83096,UA,2017-04-20,70000,04129124
BUY,CO-83096,MSFT,2016-07-12,70000,02612658
SELL,CO-83096,MSFT,2017-12-29,70000,02612658
BUY,CO-83096,AMD,2016-05-03,30000,03543779
SELL,CO-83096,AMD,2016-09-09,30000,03543779
BUY,CO-83096,AMD,2016-07-19,20000,09040597
SELL,CO-83096,AMD,2016-10-20,20000,09040597
BUY,CO-83096,CRM,2016-05-27,90000,06340194
SELL,CO-83096,CRM,2017-06-05,90000,06340194
BUY,CO-83096,UA,2016-07-06,50000,06235101
SELL,CO-83096,UA,2018-01-11,50000,06235101
BUY,CO-83096,SQ,2016-06-30,60000,09029243
SELL,CO-83096,SQ,2016-12-22,60000,09029243
BUY,CO-83096,CMG,2016-04-20,90000,05347495
SELL,CO-83096,CMG,2017-11-03,90000,05347495
BUY,CO-83096,COF,2016-06-01,50000,08888573
SELL,CO-83096,COF,2016-12-07,50000,08888573
BUY,CO-83096,MSFT,2016-04-06,10000,06955799
SELL,CO-83096,MSFT,2017-01-19,10000,06955799
BUY,CO-83096,NKE,2016-04-20,40000,04086636
SELL,CO-83096,NKE,2017-09-22,40000,04086636
BUY,CO-83096,MSFT,2016-04-06,80000,07370966
SELL,CO-83096,MSFT,2016-06-09,80000,07370966
BUY,CO-83096,SQ,2016-04-21,10000,01332830
SELL,CO-83096,SQ,2016-08-29,10000,01332830
BUY,CO-83096,NKE,2016-04-11,30000,08448864
SELL,CO-83096,NKE,2016-12-21,30000,08448864
BUY,CO-83096,NKE,2016-04-08,20000,03123623
SELL,CO-83096,NKE,2016-12-09,20000,03123623
BUY,CO-83096,UA,2016-04-22,90000,06954962
SELL,CO-83096,UA,2017-08-15,90000,06954962
BUY,CO-83096,CRM,2016-05-12,70000,01002962
SELL,CO-83096,CRM,2016-11-09,70000,01002962
BUY,CO-83096,CMG,2016-05-10,50000,07220846
SELL,CO-83096,CMG,2017-05-09,50000,07220846
BUY,CO-83096,MSFT,2016-04-06,60000,09727440
SELL,CO-83096,MSFT,2017-07-28,60000,09727440
BUY,CO-83096,SQ,2016-08-08,90000,01685998
SELL,CO-83096,SQ,2016-12-28,90000,01685998
BUY,CO-83096,UA,2016-08-05,70000,01144014
SELL,CO-83096,UA,2017-05-08,70000,01144014
BUY,CO-83096,SQ,2016-07-06,20000,05736541
SELL,CO-83096,SQ,2016-09-20,20000,05736541
BUY,CO-83096,UA,2016-04-15,30000,06781384
SELL,CO-83096,UA,2017-04-25,30000,06781384
BUY,CO-83096,UA,2016-06-08,30000,09362368
SELL,CO-83096,UA,2017-08-31,30000,09362368
BUY,CO-83096,SQ,2016-08-05,60000,09339365
SELL,CO-83096,SQ,2017-02-17,60000,09339365
BUY,CO-83096,INTC,2016-04-28,20000,05829835
SELL,CO-83096,INTC,2017-02-16,20000,05829835
BUY,CO-83096,COF,2016-05-16,20000,02079125
SELL,CO-83096,COF,2017-03-07,20000,02079125
BUY,CO-83096,UA,2016-06-07,50000,01966872
SELL,CO-83096,UA,2017-04-26,50000,01966872
BUY,CO-83096,MSFT,2016-07-29,90000,04863240
SELL,CO-83096,MSFT,2017-07-21,90000,04863240
BUY,CO-83096,AMD,2016-05-24,70000,05188312
SELL,CO-83096,AMD,2017-10-12,70000,05188312
BUY,CO-83096,MSFT,2016-05-09,70000,07295727
SELL,CO-83096,MSFT,2017-11-24,70000,07295727
BUY,CO-83096,COF,2016-04-12,30000,08350915
SELL,CO-83096,COF,2017-02-21,30000,08350915
BUY,CO-83096,DIS,2016-05-24,80000,05564786
SELL,CO-83096,DIS,2017-10-26,80000,05564786
BUY,CO-83096,DIS,2016-07-27,10000,07478240
SELL,CO-83096,DIS,2017-12-13,10000,07478240
BUY,CO-83096,COF,2016-06-07,80000,05609766
SELL,CO-83096,COF,2016-08-05,80000,05609766
BUY,CO-83096,NKE,2016-06-16,80000,09790647
SELL,CO-83096,NKE,2017-12-13,80000,09790647
BUY,CO-83096,DIS,2016-07-19,20000,08123735
SELL,CO-83096,DIS,2016-12-29,20000,08123735
BUY,CO-83096,UA,2016-04-19,40000,09527467
SELL,CO-83096,UA,2017-06-06,40000,09527467
BUY,CO-83096,MSFT,2016-07-28,50000,05585575
SELL,CO-83096,MSFT,2017-08-02,50000,05585575
BUY,CO-83096,SQ,2016-05-18,10000,03234885
SELL,CO-83096,SQ,2017-04-20,10000,03234885
BUY,CO-83096,DIS,2016-06-08,30000,01837035
SELL,CO-83096,DIS,2017-06-14,30000,01837035
BUY,CO-83096,COF,2016-07-27,80000,03096827
SELL,CO-83096,COF,2017-07-17,80000,03096827
BUY,CO-83096,COF,2016-08-03,70000,07312788
SELL,CO-83096,COF,2017-05-18,70000,07312788
BUY,CO-83096,MSFT,2016-06-21,70000,06044344
SELL,CO-83096,MSFT,2017-08-21,70000,06044344
BUY,CO-83096,DIS,2016-07-18,10000,08213991
SELL,CO-83096,DIS,2016-11-08,10000,08213991
BUY,CO-83096,CMG,2016-08-10,30000,05766252
SELL,CO-83096,CMG,2016-10-24,30000,05766252
BUY,CO-83096,AMD,2016-05-23,90000,01326368
SELL,CO-83096,AMD,2017-05-19,90000,01326368
BUY,CO-83096,CMG,2016-05-25,40000,06458492
SELL,CO-83096,CMG,2016-12-20,40000,06458492
BUY,CO-83096,AMD,2016-04-04,40000,04716180
SELL,CO-83096,AMD,2017-10-30,40000,04716180
BUY,CO-83096,COF,2016-06-30,20000,09742574
SELL,CO-83096,COF,2017-03-29,20000,09742574
BUY,CO-83096,AMD,2016-05-06,70000,08536479
SELL,CO-83096,AMD,2017-10-03,70000,08536479
BUY,CO-83096,DIS,2016-08-08,60000,07378384
SELL,CO-83096,DIS,2017-09-06,60000,07378384
BUY,CO-83096,CMG,2016-07-22,50000,08300470
SELL,CO-83096,CMG,2017-10-27,50000,08300470
BUY,CO-83096,DIS,2016-04-12,40000,02257077
SELL,CO-83096,DIS,2016-11-22,40000,02257077
BUY,CO-83096,CMG,2016-06-27,30000,08634652
SELL,CO-83096,CMG,2017-08-31,30000,08634652
BUY,CO-83096,CMG,2016-04-21,20000,04141998
SELL,CO-83096,CMG,2017-04-20,20000,04141998
BUY,CO-83096,COF,2016-06-02,30000,06257528
SELL,CO-83096,COF,2017-07-03,30000,06257528
BUY,CO-83096,SQ,2016-08-10,10000,01210395
SELL,CO-83096,SQ,2018-01-29,10000,01210395
BUY,CO-83096,COF,2016-07-13,70000,08186559
SELL,CO-83096,COF,2016-11-18,70000,08186559
BUY,CO-83096,INTC,2016-05-20,10000,04360664
SELL,CO-83096,INTC,2017-12-05,10000,04360664
BUY,CO-83096,MSFT,2016-07-21,70000,07271194
SELL,CO-83096,MSFT,2017-07-26,70000,07271194
BUY,CO-83096,CRM,2016-06-07,90000,06932675
SELL,CO-83096,CRM,2017-02-10,90000,06932675
BUY,CO-83096,AMD,2016-07-25,70000,08612711
SELL,CO-83096,AMD,2018-02-07,70000,08612711
BUY,CO-83096,MSFT,2016-05-03,20000,01715290
SELL,CO-83096,MSFT,2016-12-08,20000,01715290
BUY,CO-83096,CMG,2016-05-18,90000,07745618
SELL,CO-83096,CMG,2017-06-26,90000,07745618
BUY,CO-83096,COF,2016-08-02,70000,03734875
SELL,CO-83096,COF,2016-09-16,70000,03734875
BUY,CO-83096,UA,2016-05-13,50000,01098587
SELL,CO-83096,UA,2016-11-03,50000,01098587
BUY,CO-83096,COF,2016-08-02,80000,09535174
SELL,CO-83096,COF,2016-10-25,80000,09535174
BUY,CO-83096,CMG,2016-07-22,50000,05251049
SELL,CO-83096,CMG,2018-01-26,50000,05251049
BUY,CO-83096,CRM,2016-05-03,40000,04795997
SELL,CO-83096,CRM,2017-05-17,40000,04795997
BUY,CO-83096,COF,2016-06-09,30000,01944391
SELL,CO-83096,COF,2017-12-28,30000,01944391
BUY,CO-83096,MSFT,2016-04-11,70000,02805744
SELL,CO-83096,MSFT,2017-02-15,70000,02805744
BUY,CO-83096,COF,2016-04-29,80000,05143597
SELL,CO-83096,COF,2016-08-08,80000,05143597
BUY,CO-83096,CRM,2016-05-06,40000,02791255
SELL,CO-83096,CRM,2017-10-27,40000,02791255
BUY,CO-83096,MSFT,2016-07-01,30000,03784880
SELL,CO-83096,MSFT,2016-08-22,30000,03784880
BUY,CO-83096,DIS,2016-06-14,50000,06365711
SELL,CO-83096,DIS,2017-01-30,50000,06365711
BUY,CO-83096,MSFT,2016-05-10,70000,04530909
SELL,CO-83096,MSFT,2017-09-06,70000,04530909
BUY,CO-83096,AMD,2016-05-12,60000,03918698
SELL,CO-83096,AMD,2016-11-01,60000,03918698
BUY,CO-83096,NKE,2016-07-07,30000,02032852
SELL,CO-83096,NKE,2017-02-03,30000,02032852
BUY,CO-83096,CRM,2016-08-10,30000,09966583
SELL,CO-83096,CRM,2016-11-21,30000,09966583
BUY,CO-83096,SQ,2016-04-04,90000,06092652
SELL,CO-83096,SQ,2016-09-01,90000,06092652
BUY,CO-83096,AMD,2016-04-18,10000,05597975
SELL,CO-83096,AMD,2017-03-14,10000,05597975
BUY,CO-83096,COF,2016-07-06,90000,05666470
SELL,CO-83096,COF,2017-08-14,90000,05666470
BUY,CO-83096,NKE,2016-05-17,10000,02784110
SELL,CO-83096,NKE,2017-01-26,10000,02784110
BUY,CO-83096,COF,2016-07-27,30000,06443484
SELL,CO-83096,COF,2017-10-04,30000,06443484
BUY,CO-83096,CMG,2017-05-09,10000,01091069
SELL,CO-83096,CMG,2020-04-06,10000,01091069
BUY,CO-83096,CMG,2017-02-17,50000,02299812
SELL,CO-83096,CMG,2018-10-09,50000,02299812
BUY,CO-83096,DIS,2017-01-17,50000,01712121
SELL,CO-83096,DIS,2019-11-12,50000,01712121
BUY,CO-83096,MSFT,2017-06-22,80000,07527600
SELL,CO-83096,MSFT,2019-04-24,80000,07527600
BUY,CO-83096,AMD,2017-10-13,10000,05511040
SELL,CO-83096,AMD,2019-05-24,10000,05511040
BUY,CO-83096,AMD,2017-04-04,30000,02764618
SELL,CO-83096,AMD,2018-12-19,30000,02764618
BUY,CO-83096,CRM,2017-08-31,70000,08848166
SELL,CO-83096,CRM,2019-05-07,70000,08848166
BUY,CO-83096,SQ,2017-09-05,50000,07986832
SELL,CO-83096,SQ,2020-03-02,50000,07986832
BUY,CO-83096,UA,2017-02-27,40000,06542160
SELL,CO-83096,UA,2019-02-22,40000,06542160
BUY,CO-83096,NKE,2017-04-25,40000,09040294
SELL,CO-83096,NKE,2018-12-19,40000,09040294
BUY,CO-83096,AMD,2017-06-05,90000,03556402
SELL,CO-83096,AMD,2019-06-26,90000,03556402
BUY,CO-83096,COF,2017-02-02,40000,03854792
SELL,CO-83096,COF,2019-12-12,40000,03854792
BUY,CO-83096,AMD,2017-03-20,70000,03565865
SELL,CO-83096,AMD,2020-04-09,70000,03565865
BUY,CO-83096,NKE,2017-01-24,20000,09239733
SELL,CO-83096,NKE,2019-12-06,20000,09239733
BUY,CO-83096,DIS,2017-08-24,40000,07504128
SELL,CO-83096,DIS,2020-10-13,40000,07504128
BUY,CO-83096,CMG,2017-03-22,90000,01329915
SELL,CO-83096,CMG,2019-08-14,90000,01329915
BUY,CO-83096,SQ,2017-09-12,60000,07852999
SELL,CO-83096,SQ,2020-09-18,60000,07852999
BUY,CO-83096,MSFT,2017-06-27,70000,06245858
SELL,CO-83096,MSFT,2020-06-15,70000,06245858
BUY,CO-83096,UA,2017-05-22,10000,08806686
SELL,CO-83096,UA,2019-03-08,10000,08806686
BUY,CO-83096,COF,2017-06-27,20000,01404185
SELL,CO-83096,COF,2020-03-23,20000,01404185
BUY,CO-83096,INTC,2017-06-01,20000,09708528
SELL,CO-83096,INTC,2020-02-04,20000,09708528
BUY,CO-83096,NKE,2017-03-17,50000,04657023
SELL,CO-83096,NKE,2019-05-31,50000,04657023
BUY,CO-83096,MSFT,2017-01-18,30000,08035582
SELL,CO-83096,MSFT,2018-10-12,30000,08035582
BUY,CO-83096,MSFT,2017-01-24,70000,02595615
SELL,CO-83096,MSFT,2019-03-15,70000,02595615
BUY,CO-83096,MSFT,2017-01-04,70000,07035994
SELL,CO-83096,MSFT,2018-10-18,70000,07035994
BUY,CO-83096,UA,2017-10-13,30000,09287414
SELL,CO-83096,UA,2020-04-29,30000,09287414
BUY,CO-83096,MSFT,2017-05-10,20000,03431198
SELL,CO-83096,MSFT,2019-02-26,20000,03431198
BUY,CO-83096,AMD,2017-03-24,20000,05753044
SELL,CO-83096,AMD,2019-10-21,20000,05753044
BUY,CO-83096,NKE,2017-03-03,20000,05843832
SELL,CO-83096,NKE,2019-08-05,20000,05843832
BUY,CO-83096,INTC,2017-06-19,40000,04003491
SELL,CO-83096,INTC,2019-07-24,40000,04003491
BUY,CO-83096,COF,2017-04-20,10000,02234877
SELL,CO-83096,COF,2020-05-11,10000,02234877
BUY,CO-83096,UA,2017-10-17,80000,03591480
SELL,CO-83096,UA,2020-04-20,80000,03591480
BUY,CO-83096,CRM,2017-09-01,70000,02327452
SELL,CO-83096,CRM,2019-09-27,70000,02327452
BUY,CO-83096,COF,2017-09-26,70000,01375166
SELL,CO-83096,COF,2020-02-06,70000,01375166
BUY,CO-83096,NKE,2017-10-05,20000,01041385
SELL,CO-83096,NKE,2019-12-13,20000,01041385
BUY,CO-83096,UA,2017-04-28,50000,02015866
SELL,CO-83096,UA,2019-06-11,50000,02015866
BUY,CO-83096,SQ,2017-03-07,10000,06183489
SELL,CO-83096,SQ,2018-11-06,10000,06183489
BUY,CO-83096,CRM,2017-08-28,20000,05881650
SELL,CO-83096,CRM,2019-09-18,20000,05881650
BUY,CO-83096,INTC,2017-05-17,40000,07459067
SELL,CO-83096,INTC,2019-12-30,40000,07459067
BUY,CO-83096,MSFT,2017-08-16,90000,08306968
SELL,CO-83096,MSFT,2020-04-08,90000,08306968
BUY,CO-83096,AMD,2017-03-14,80000,01759721
SELL,CO-83096,AMD,2019-04-11,80000,01759721
BUY,CO-83096,MSFT,2017-07-19,30000,05636206
SELL,CO-83096,MSFT,2019-05-09,30000,05636206
BUY,CO-83096,COF,2017-09-12,80000,08530230
SELL,CO-83096,COF,2020-06-11,80000,08530230
BUY,CO-83096,COF,2017-09-26,40000,09078341
SELL,CO-83096,COF,2020-11-03,40000,09078341
BUY,CO-83096,SQ,2017-03-02,60000,07256482
SELL,CO-83096,SQ,2019-06-07,60000,07256482
BUY,CO-83096,COF,2017-04-18,50000,04791420
SELL,CO-83096,COF,2019-09-19,50000,04791420
BUY,CO-83096,CRM,2017-07-20,10000,02558644
SELL,CO-83096,CRM,2019-08-19,10000,02558644
BUY,CO-83096,AMD,2017-02-01,50000,02531381
SELL,CO-83096,AMD,2019-04-08,50000,02531381
BUY,CO-83096,NKE,2017-09-13,80000,06459328
SELL,CO-83096,NKE,2019-04-24,80000,06459328
BUY,CO-83096,CRM,2017-07-05,70000,01775985
SELL,CO-83096,CRM,2019-06-07,70000,01775985
BUY,CO-83096,CRM,2017-05-16,30000,08925247
SELL,CO-83096,CRM,2020-04-20,30000,08925247
BUY,CO-83096,CRM,2017-03-24,10000,03971817
SELL,CO-83096,CRM,2018-12-04,10000,03971817
BUY,CO-83096,CRM,2017-07-13,30000,03616068
SELL,CO-83096,CRM,2020-06-25,30000,03616068
BUY,CO-83096,AMD,2017-09-15,50000,02603848
SELL,CO-83096,AMD,2019-09-10,50000,02603848
BUY,CO-83096,UA,2017-05-10,10000,07661500
SELL,CO-83096,UA,2020-03-24,10000,07661500
BUY,CO-83096,SQ,2017-06-09,20000,08072640
SELL,CO-83096,SQ,2020-02-07,20000,08072640
BUY,CO-83096,SQ,2017-01-09,60000,03566504
SELL,CO-83096,SQ,2018-09-17,60000,03566504
BUY,CO-83096,SQ,2017-06-12,90000,05408537
SELL,CO-83096,SQ,2019-03-14,90000,05408537
BUY,CO-83096,DIS,2017-04-04,50000,03788494
SELL,CO-83096,DIS,2020-04-23,50000,03788494
BUY,CO-83096,INTC,2017-01-30,80000,05180034
SELL,CO-83096,INTC,2020-01-29,80000,05180034
BUY,CO-83096,INTC,2017-06-30,80000,04765034
SELL,CO-83096,INTC,2019-11-08,80000,04765034
BUY,CO-83096,AMD,2017-09-29,70000,03810667
SELL,CO-83096,AMD,2019-09-11,70000,03810667
BUY,CO-83096,NKE,2017-06-06,10000,08526431
SELL,CO-83096,NKE,2019-08-08,10000,08526431
BUY,CO-83096,MSFT,2017-02-16,20000,05520197
SELL,CO-83096,MSFT,2018-10-23,20000,05520197
BUY,CO-83096,INTC,2017-03-13,30000,01404004
SELL,CO-83096,INTC,2019-10-31,30000,01404004
BUY,CO-83096,CRM,2017-01-30,10000,09711925
SELL,CO-83096,CRM,2019-10-07,10000,09711925
BUY,CO-83096,CRM,2017-08-31,40000,07455422
SELL,CO-83096,CRM,2019-06-05,40000,07455422
BUY,CO-83096,SQ,2017-08-25,10000,01809881
SELL,CO-83096,SQ,2019-12-26,10000,01809881
BUY,CO-83096,INTC,2017-07-06,20000,02258542
SELL,CO-83096,INTC,2019-06-27,20000,02258542
BUY,CO-83096,CRM,2017-06-20,10000,02103266
SELL,CO-83096,CRM,2020-06-16,10000,02103266
BUY,CO-83096,CMG,2017-01-31,30000,02452097
SELL,CO-83096,CMG,2020-03-20,30000,02452097
BUY,CO-83096,COF,2017-01-19,10000,06329883
SELL,CO-83096,COF,2018-10-02,10000,06329883
BUY,CO-83096,MSFT,2017-06-22,60000,04540813
SELL,CO-83096,MSFT,2020-07-07,60000,04540813
BUY,CO-83096,CMG,2017-08-14,50000,04613172
SELL,CO-83096,CMG,2020-01-27,50000,04613172
BUY,CO-83096,UA,2017-09-28,30000,02787269
SELL,CO-83096,UA,2020-06-02,30000,02787269
BUY,CO-83096,INTC,2017-01-06,20000,03704250
SELL,CO-83096,INTC,2019-06-12,20000,03704250
BUY,CO-83096,COF,2017-10-11,50000,03532743
SELL,CO-83096,COF,2020-08-05,50000,03532743
BUY,CO-83096,AMD,2017-02-02,90000,04348437
SELL,CO-83096,AMD,2020-01-23,90000,04348437
BUY,CO-83096,AMD,2017-05-19,10000,06876168
SELL,CO-83096,AMD,2019-08-06,10000,06876168
